T_K,dIW_dex,rank1,rank2,rank3,rank4,P_total_bar,p_H2O_bar,p_CO2_bar,p_O2_bar,p_H2_bar,p_CO_bar,p_CH4_bar,p_N2_bar,p_NH3_bar,p_S2_bar,p_SO2_bar,p_H2S_bar
1821.4285714285716,-3.1818181818181817,CO,CH4,H2,CO2,1277.4682854742848,2.500652583523929,5.455925771924234,1.9362438595210977e-12,118.08412690916376,996.7275540944302,152.9848088047035,1.6388171543309529,0.048503031963932255,3.9927876434712984e-08,1.414267278137782e-09,0.027897082900182987
1821.4285714285716,-2.3636363636363633,CO,H2,CH4,CO2,1335.3535302350979,4.439524985884582,16.761002844841727,1.2739191662181315e-11,81.73042534135388,1193.7602178837737,34.220197288784206,4.347152914165863,0.04548774940366805,2.626345880969883e-07,2.386443547187429e-08,0.049520940378455454
1821.4285714285716,-1.5454545454545454,CO,CO2,H2,N2,1355.357003113733,5.250149999490525,45.30401924279644,8.381537449829759e-11,37.68148910711466,1257.9486868672152,2.988312559036937,6.108901622521812,0.016880682589345882,1.7278302703699322e-06,4.0272404684033817e-07,0.058560902329788715
1821.4285714285716,-0.7272727272727271,CO,CO2,H2,N2,1378.2620980135168,5.463107141589942,114.19219343111833,5.514491961954665e-10,15.28639769954633,1236.1514966373852,0.18840745287749905,6.914900623644826,0.004640524346576477,1.136800006705972e-05,6.79643042040916e-06,0.06093633802633062
1821.4285714285716,0.09090909090909083,CO,CO2,N2,H2,1425.8697310244743,5.53660976373875,269.467697360639,3.6281674788770575e-09,6.039742754697664,1137.2372752163558,0.010549044656953941,7.514708788661001,0.0012014344826514962,7.479618601954133e-05,0.00011469919927281496,0.06175716222902099
1821.4285714285716,0.9090909090909092,CO,CO2,N2,H2O,1502.6350021908102,5.56624407101947,561.8800933920805,2.387091928975307e-08,2.367259476067704,924.4791304873216,0.0005135977254066629,8.276935252877099,0.00030939972768309826,0.0004921239495801719,0.0019357074793479318,0.06208865869071556
1821.4285714285716,1.7272727272727275,CO2,CO,N2,H2O,1588.7120426583592,5.5790628720363395,958.2691683264756,1.5705470903847785e-07,0.9250260530835116,614.681400212812,2.0328313269390923e-05,9.159161626642442,7.950147039237801e-05,0.003237006797584246,0.03266300230933457,0.062223571364005456
1821.4285714285716,2.545454545454546,CO2,CO,N2,H2O,1656.069246214768,5.584682353953128,1311.6139989031196,1.0333151116534186e-06,0.3609942432398971,328.00290554628043,6.440664512954496e-07,9.873301505413055,2.0123242777455536e-05,0.02120222853150332,0.5499926297815184,0.062147003824217
1821.4285714285716,3.363636363636364,CO2,CO,N2,SO2,1706.7249770299468,5.587132558495946,1532.1525431332677,6.798523434975289e-06,0.14079909595540213,149.37666010263922,1.7395783851859648e-08,10.309621771018712,5.008844144593699e-06,0.13022278410975552,8.967913700665287,0.06007205903142219
1821.4285714285716,4.181818181818182,CO2,SO2,CO,N2,1847.86038187798,5.5888068540843285,1669.1537663664722,4.4729744464833304e-05,0.05490843715849797,63.443360104741885,4.380613707407099e-10,10.73248307639367,1.2445864912560324e-06,0.3628119027908785,98.48509625775233,0.039102903817233095
